Profile Summary
Generated on: 2021-07-04 22:46:23
Msec since Epoch: 1625409983065
Profiled application: HLS_Final_Project
Target platform: 
Tool version: 2020.1
XRT build version: 2.7.766
Build version branch: 2020.1_PU1
Build version hash: 19bc791a7d9b54ecc23644649c3ea2c2ea31821c
Build version date: N/A 
Target devices: xilinx_u50_gen3x16_xdma_201920_3-1
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clEnqueueBarrier,15,2437.94,0.001192,162.529,2418.03,
clGetDeviceInfo,4,142.174,0.00371,35.5435,74.1817,
clCreateProgramWithBinary,1,45.637,45.637,45.637,45.637,
clCreateBuffer,363,13.909,0.005539,0.0383168,0.388887,
clCreateContext,1,5.67426,5.67426,5.67426,5.67426,
clCreateKernel,8,2.8896,0.348791,0.3612,0.400723,
clEnqueueNDRangeKernel,308,2.8107,0.005185,0.00912565,0.05554,
clReleaseMemObject,357,2.60199,0.000379,0.00728848,0.187073,
clReleaseProgram,1,1.58264,1.58264,1.58264,1.58264,
clEnqueueMigrateMemObjects,328,0.989896,0.001483,0.00301798,0.165202,
clSetKernelArg,1188,0.608351,0.000258,0.00051208,0.013975,
clReleaseKernel,8,0.203462,0.00068,0.0254327,0.052527,
clGetPlatformIDs,2,0.008129,0.000734,0.0040645,0.007395,
clCreateCommandQueue,1,0.006365,0.006365,0.006365,0.006365,
clGetDeviceIDs,2,0.005197,0.000577,0.0025985,0.00462,
clReleaseCommandQueue,1,0.003978,0.003978,0.003978,0.003978,
clBuildProgram,1,0.003809,0.003809,0.003809,0.003809,
clReleaseDevice,1,0.00316,0.00316,0.00316,0.00316,
clGetPlatformInfo,2,0.001747,0.000584,0.0008735,0.001163,
clReleaseContext,1,0.001008,0.001008,0.001008,0.001008,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
K_add,64,426.704,6.61662,6.66724,6.73525,
K_lift,28,247.293,8.76799,8.83189,9.77213,
K_mov,8,2.9483,0.361634,0.368538,0.373536,
K_mulWise,88,594.405,6.71807,6.7546,7.47585,
K_ntt,108,1004.45,8.39371,9.30045,10.6231,
K_scale,12,135.551,11.2789,11.2959,11.3455,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,8,3724.562214,38.797523,262.144,0.563060,0.070383,
context0:1,WRITE,359,4968.412444,51.754296,291.352,21.052088,0.058641,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94535764344864,K_scale,0,0,xilinx_u50_gen3x16_xdma_201920_3-1,54651,11.3455,1:1:1,1:1:1,
94535764344864,K_scale,0,0,xilinx_u50_gen3x16_xdma_201920_3-1,54662.4,11.3256,1:1:1,1:1:1,
94535764344864,K_scale,0,0,xilinx_u50_gen3x16_xdma_201920_3-1,54639.7,11.3212,1:1:1,1:1:1,
94535764344864,K_scale,0,0,xilinx_u50_gen3x16_xdma_201920_3-1,53429.9,11.3014,1:1:1,1:1:1,
94535764344864,K_scale,0,0,xilinx_u50_gen3x16_xdma_201920_3-1,53452.5,11.289,1:1:1,1:1:1,
94535764344864,K_scale,0,0,xilinx_u50_gen3x16_xdma_201920_3-1,55266.2,11.2826,1:1:1,1:1:1,
94535764344864,K_scale,0,0,xilinx_u50_gen3x16_xdma_201920_3-1,55243.6,11.2822,1:1:1,1:1:1,
94535764344864,K_scale,0,0,xilinx_u50_gen3x16_xdma_201920_3-1,54058.6,11.2814,1:1:1,1:1:1,
94535764344864,K_scale,0,0,xilinx_u50_gen3x16_xdma_201920_3-1,55254.9,11.2813,1:1:1,1:1:1,
94535764344864,K_scale,0,0,xilinx_u50_gen3x16_xdma_201920_3-1,54047.3,11.2809,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
16777216,0,0,53141.9,0.096856,262.144,2706.533410,
0,0,0,223.723,0.095694,262.144,2739.398499,
86507520,0,0,53578.6,0.095090,524.288,5513.597644,
86507520,0,0,53532.3,0.094205,524.288,5565.394618,
90439680,0,0,53751.5,0.093129,524.288,5629.696443,
85196800,0,0,53341.9,0.089904,786.432,8747.463962,
88604672,0,0,53518.5,0.089903,524.288,5831.707507,
84672512,0,0,53218.9,0.089510,524.288,5857.312032,
89653248,0,0,53611.3,0.089437,524.288,5862.092870,
89391104,0,0,53595,0.089383,524.288,5865.634404,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
31719424,0,0,55580,0.079300,262.144,3305.725095,
31457280,0,0,55579.8,0.073407,262.144,3571.103573,
31981568,0,0,55580.2,0.072300,262.144,3625.781466,
32768000,0,0,55580.8,0.070437,262.144,3721.680367,
32243712,0,0,55580.4,0.070146,262.144,3737.119722,
32505856,0,0,55580.5,0.066407,262.144,3947.535651,
33292288,0,0,55581.1,0.066072,262.144,3967.550551,
33030144,0,0,55580.9,0.064991,262.144,4033.543106,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_201920_3-0,0.000000,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_201920_3-1,2421.881902,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-1|K_add_1,64,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-1|K_apply_galois_1,0,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-1|K_lift_1,28,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-1|K_mov_1,8,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-1|K_mulConst_1,0,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-1|K_mulWise_1,88,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-1|K_ntt_1,108,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-1|K_scale_1,12,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-1|modular_multiplication_1,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_201920_3-1|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_201920_3-1|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_201920_3-1|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,328,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[10],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[11],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[12],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[13],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[14],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[15],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[16],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[17],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[18],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[19],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[1],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[20],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[21],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[22],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[23],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[24],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[25],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[26],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[27],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[28],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[29],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[30],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[31],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[3],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[4],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[5],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[6],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[7],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[8],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|HBM[9],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|PLRAM[0],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|PLRAM[1],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|PLRAM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-1|PLRAM[3],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,K_mulWise_1/m_axi_gmem,32,
PORT_BIT_WIDTH,K_scale_1/m_axi_gmem,32,
PORT_BIT_WIDTH,K_mulConst_1/m_axi_gmem,32,
PORT_BIT_WIDTH,K_mov_1/m_axi_gmem,32,
PORT_BIT_WIDTH,K_ntt_1/m_axi_gmem,32,
PORT_BIT_WIDTH,K_apply_galois_1/m_axi_gmem,32,
PORT_BIT_WIDTH,K_add_1/m_axi_gmem,32,
PORT_BIT_WIDTH,K_lift_1/m_axi_gmem,32,
KERNEL_COUNT,K_add,1,
KERNEL_COUNT,K_apply_galois,1,
KERNEL_COUNT,K_lift,1,
KERNEL_COUNT,K_mov,1,
KERNEL_COUNT,K_mulConst,1,
KERNEL_COUNT,K_mulWise,1,
KERNEL_COUNT,K_ntt,1,
KERNEL_COUNT,K_scale,1,
KERNEL_COUNT,modular_multiplication,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,K_add,1,
MAX_PARALLEL_KERNEL_ENQUEUES,K_lift,1,
MAX_PARALLEL_KERNEL_ENQUEUES,K_mov,1,
MAX_PARALLEL_KERNEL_ENQUEUES,K_mulWise,1,
